# X_0;X_1;X_2;R_0;R_1;S_0;S_1;G_0;G_1;I_0;I_1
0;856;2;2;2;0;0;-1;-2;0;0
1;894;2;2;2;0;0;-1;-1;0;0
0;1093;2;2;3;1;1;-1;-2;0;0
1;943;3;3;3;0;1;-2;-2;0;0
0;1001;3;3;3;1;1;-2;-2;0;0
1;965;2;2;3;1;1;-1;-2;0;0
1;973;2;2;3;1;1;-1;-1;0;0
1;1151;3;3;3;1;1;-1;-2;0;0
1;1257;2;2;2;1;1;-1;-1;0;0
1;957;2;2;3;0;1;-1;-2;0;0
0;940;3;3;3;0;1;-2;-2;0;0
1;1037;3;3;3;1;1;-2;-2;0;0
0;1085;2;2;2;1;1;-1;-1;0;0
1;1048;2;2;3;1;1;-1;-2;0;0
0;782;3;3;3;0;0;-2;-2;0;0
0;1089;2;2;3;1;1;-1;-2;0;0
0;1018;2;2;3;1;1;-1;-2;0;0
0;804;3;3;3;0;0;-2;-2;0;0
0;1125;3;3;3;1;1;-1;-2;0;0
1;742;2;2;3;0;0;-2;-2;0;0
0;848;2;2;2;0;0;-1;-1;0;0
0;951;3;3;4;0;1;-2;-3;0;0
1;1159;3;3;3;1;1;-2;-2;0;0
1;818;3;3;3;0;0;-2;-2;0;0
0;970;2;2;2;1;1;-1;-1;0;0
1;840;2;2;3;0;0;-2;-2;0;0
0;1008;3;3;3;1;1;-2;-2;0;0
0;1031;3;3;3;1;1;-2;-2;0;0
1;1053;3;3;3;1;1;-2;-2;0;0
0;906;2;2;3;0;0;-1;-2;0;0
0;914;3;3;3;0;0;-2;-2;0;0
1;962;2;2;2;1;1;-1;-1;0;0
0;1181;2;2;3;1;1;-1;-1;0;0
1;1105;3;3;3;1;1;-2;-2;0;0
1;948;3;3;3;0;1;-2;-2;0;0
0;1006;3;3;3;1;1;-1;-2;0;0
1;981;2;2;2;1;1;-1;-1;0;0
1;1082;2;2;3;1;1;-1;-2;0;0
1;1120;3;3;3;1;1;-1;-2;0;0
0;1021;3;3;3;1;1;-1;-2;0;0
0;998;3;3;3;1;1;-2;-2;0;0
0;1013;3;3;3;1;1;-1;-2;0;0
0;902;3;3;3;0;0;-2;-2;0;0
0;1026;3;3;3;1;1;-1;-2;0;0
1;978;3;3;3;1;1;-2;-2;0;0
0;988;3;3;3;1;1;-2;-2;0;0
1;879;2;2;3;0;0;-1;-2;0;0
0;1051;3;3;3;1;1;-2;-2;0;0
0;1101;3;3;3;1;1;-2;-2;0;0
0;917;2;2;3;0;1;-1;-2;0;0
1;954;2;2;2;0;1;-1;-1;0;0
1;1097;2;2;3;1;1;-1;-1;0;0
0;889;2;2;3;0;0;-1;-2;0;0
0;874;3;3;3;0;0;-2;-2;0;0
1;862;2;2;2;0;0;-1;-2;0;0
1;934;2;2;3;0;1;-1;-2;0;0
0;884;2;2;3;0;0;-1;-2;0;0
1;924;2;2;2;0;1;-1;-1;0;0
1;830;3;3;3;0;0;-2;-2;0;0
1;1039;3;3;3;1;1;-2;-2;0;0
0;1115;3;3;3;1;1;-2;-2;0;0
1;921;2;2;3;0;1;-1;-2;0;0
1;996;2;2;3;1;1;-1;-2;0;0
1;1056;3;3;3;1;1;-2;-2;0;0
1;1137;3;3;3;1;1;-2;-2;0;0
1;1062;3;3;3;1;1;-2;-2;0;0
0;1042;2;2;3;1;1;-1;-2;0;0
0;1131;3;3;3;1;1;-2;-2;0;0
1;898;2;2;3;0;0;-1;-2;0;0
1;960;3;3;3;1;1;-2;-2;0;0
1;868;3;3;3;0;0;-2;-2;0;0
1;910;3;3;3;0;0;-2;-2;0;0
0;927;2;2;3;0;1;-1;-2;0;0
1;1059;3;3;3;1;1;-2;-2;0;0
1;986;2;2;2;1;1;-1;-1;0;0
1;946;3;3;3;0;1;-2;-2;0;0
1;1069;3;3;3;1;1;-1;-2;0;0
0;1034;3;3;3;1;1;-2;-2;0;0
0;968;2;2;2;1;1;-1;-1;0;0
0;1169;2;2;3;1;1;-1;-1;0;0
1;991;2;2;2;1;1;-1;-1;0;0
0;993;2;2;3;1;1;-1;-2;0;0
1;1143;2;2;3;1;1;-1;-1;0;0
0;983;2;2;3;1;1;-1;-1;0;0
0;1110;2;2;3;1;1;-1;-1;0;0
0;1011;3;3;3;1;1;-2;-2;0;0
0;1065;3;3;4;1;1;-2;-2;0;0
0;1072;2;2;3;1;1;-1;-1;0;0
1;1217;2;2;3;1;1;-1;-1;0;0
0;930;2;2;2;0;1;-1;-1;0;0
1;1078;3;3;3;1;1;-2;-2;0;0
1;975;2;2;3;1;1;-1;-2;0;0
1;1075;3;3;3;1;1;-2;-2;0;0
0;1016;2;2;3;1;1;-1;-1;0;0
0;1003;3;3;3;1;1;-2;-2;0;0
0;1029;3;3;3;1;1;-2;-2;0;0
1;937;3;3;3;0;1;-2;-2;0;0
0;1195;2;2;2;1;1;-1;-1;0;0
0;1045;2;2;2;1;1;-1;-1;0;0
1;1024;2;2;2;1;1;-1;-1;0;0
