# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;X_10;X_11;X_12;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
194768940203.48;268817793.82;13067.28;0.98;1.03;135.96;6.07;100.33;7.13;138.33;939.18;94003.10;9097.74;33805.69;121104.11;0.01;1846.69;1005.15;0.00;-31372.10;-118157.38;-0.01;0.00;0.00;0.00
185519780737.03;259260435.26;12974.69;0.95;0.94;136.53;5.94;97.94;7.15;138.75;910.33;108541.93;7684.02;32701.80;114721.14;0.01;1833.56;998.00;0.00;-29279.27;-107849.39;-0.01;0.00;0.00;0.00
187186472423.28;257996857.97;13094.11;1.10;0.96;140.35;5.94;103.48;7.18;141.49;937.07;85249.38;10175.45;33185.80;117351.06;0.01;1850.53;1007.23;0.00;-34699.71;-128038.24;-0.02;0.00;0.00;0.00
215083281929.38;245787056.31;13057.73;1.04;1.15;134.37;5.67;103.20;7.18;137.96;902.23;99741.83;10518.87;30826.21;102100.69;0.01;1845.30;1004.38;0.00;-29980.01;-105162.54;-0.02;0.00;0.00;0.00
192893441930.66;256834250.45;11768.23;1.02;0.98;140.26;5.93;103.33;7.39;141.93;977.93;102265.39;10647.47;33138.82;116468.64;0.01;1663.12;905.23;0.00;-32023.23;-117381.57;-0.02;0.00;0.00;0.00
199042101693.62;245466979.82;13250.61;1.03;0.91;139.91;5.65;104.49;7.19;136.92;959.84;97436.87;9436.22;30553.82;105885.81;0.01;1872.55;1019.23;0.00;-29640.32;-107722.03;-0.02;0.00;0.00;0.00
200845014390.98;250087989.77;15033.19;0.95;1.06;142.35;5.89;97.69;7.03;141.91;949.18;111731.02;9740.13;32262.89;114415.97;0.01;2124.52;1156.38;0.00;-28421.05;-107535.82;-0.01;0.00;0.00;0.00
202996869761.58;252779030.32;15100.56;0.99;1.05;146.69;5.69;101.46;6.96;140.65;949.66;102462.91;8900.05;32322.17;115149.27;0.01;2134.00;1161.54;0.00;-29639.43;-112368.02;-0.01;0.00;0.00;0.00
214761827484.98;244384519.19;12098.19;1.04;0.96;145.06;5.70;102.48;6.94;138.02;924.17;88578.18;9818.05;30663.67;110150.44;0.01;1709.76;930.62;0.00;-30191.22;-113477.59;-0.02;0.00;0.00;0.00
227371442232.56;260204289.46;12982.78;0.92;0.97;136.09;5.95;104.62;6.85;140.42;936.18;108562.63;8385.85;33216.14;114968.98;0.01;1834.68;998.62;0.00;-28794.17;-104879.85;-0.01;0.00;0.00;0.00
203443499748.08;251399193.29;12551.23;1.00;0.99;143.60;5.85;106.86;7.18;137.85;945.41;97699.37;9718.05;31505.84;115245.02;0.01;1773.80;965.46;0.00;-29759.33;-114325.44;-0.02;0.00;0.00;0.00
