# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;X_10;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
195158628283.99;275575402.68;22380.52;1.01;1.00;131.26;5.67;104.51;7.22;135.26;893.34;34350.05;113394.03;0.02;24472.49;22351.46;0.00;-9877.55;-91042.57;-0.02;0.00;0.00;0.00
209622799804.07;233827581.97;20067.01;1.00;0.98;131.87;5.82;97.89;7.25;134.88;916.90;28754.74;98238.31;0.02;21573.14;19703.40;0.00;-7181.60;-78534.92;-0.02;0.00;0.00;0.00
202361081589.90;265732501.25;18749.37;0.98;1.05;139.01;5.69;105.11;7.51;137.53;930.63;32609.40;112513.84;0.01;21506.18;19642.24;0.00;-11103.23;-92871.60;-0.01;0.00;0.00;0.00
201062716892.58;252743759.91;21310.32;1.00;1.02;146.75;5.60;105.04;7.22;135.92;940.21;31116.74;112976.67;0.01;23755.49;21696.60;0.00;-7361.25;-91280.07;-0.01;0.00;0.00;0.00
193717293713.04;257120272.24;16471.62;0.94;1.03;139.35;5.96;99.45;7.44;141.07;939.20;31065.17;109820.25;0.01;18623.66;17009.55;0.00;-12441.50;-92810.71;-0.01;0.00;0.00;0.00
177121176363.33;240934773.69;21032.73;1.00;1.04;131.65;5.63;100.61;7.15;139.32;929.45;30409.88;97055.87;0.01;24013.74;21932.47;0.00;-6396.14;-75123.40;-0.01;0.00;0.00;0.00
183535144373.51;237935492.91;20073.78;0.92;0.98;148.63;5.80;111.80;7.04;135.43;901.26;26918.15;102793.73;0.01;21620.70;19746.83;0.00;-5297.44;-83046.90;-0.01;0.00;0.00;0.00
197633363755.35;255438174.81;19725.85;1.00;1.08;145.91;6.03;101.00;7.11;133.27;845.15;31060.27;123006.26;0.02;23237.30;21223.32;0.00;-7822.97;-101782.93;-0.02;0.00;0.00;0.00
203303934190.15;237992379.67;21594.59;1.01;1.01;141.45;5.95;102.07;7.38;141.39;1027.06;30799.33;110021.27;0.02;23795.48;21733.13;0.00;-7003.84;-88288.14;-0.02;0.00;0.00;0.00
192753002221.90;245860573.55;19213.22;0.96;1.00;130.12;5.78;105.02;6.42;144.46;956.38;31082.45;97164.77;0.01;21018.10;19196.46;0.00;-10064.36;-77968.31;-0.01;0.00;0.00;0.00
203160126912.24;261470121.36;20590.43;1.03;1.04;140.53;5.46;100.19;7.20;135.45;946.75;33184.61;112849.52;0.02;23374.23;21348.39;0.00;-9810.38;-91501.13;-0.02;0.00;0.00;0.00
190710212365.63;220927067.50;16876.74;1.00;1.00;143.60;5.81;97.71;7.19;135.09;952.71;27173.72;100654.59;0.02;18486.42;16884.20;0.00;-8687.30;-83770.38;-0.02;0.00;0.00;0.00
203581184942.27;280930976.51;18499.76;1.02;0.98;141.96;5.31;104.88;7.41;140.69;902.95;36670.81;117848.55;0.02;19785.81;18070.97;0.00;-16885.00;-99777.58;-0.02;0.00;0.00;0.00
218081914778.32;258437835.40;20312.03;0.97;1.01;136.43;5.30;97.96;6.89;139.66;849.97;31695.00;98411.72;0.01;22572.26;20615.92;0.00;-9122.74;-77795.80;-0.01;0.00;0.00;0.00
