# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;X_10;R_0;R_1;R_2;R_3;R_4;R_5;R_6;R_7;R_8;R_9;R_10;R_11;R_12;R_13;R_14;S_0;S_1;S_2;S_3;S_4;S_5;S_6;S_7;S_8;S_9;S_10;S_11;S_12;S_13;S_14;G_0;G_1;G_2;G_3;G_4;G_5;G_6;G_7;G_8;G_9;G_10;G_11;G_12;G_13;G_14;I_0;I_1;I_2;I_3;I_4;I_5;I_6;I_7;I_8;I_9;I_10;I_11;I_12;I_13;I_14
201585887438.80;239924005.07;19009.83;0.96;0.99;147.82;5.65;112.06;6.89;130.24;914.64;27230.17;27230.17;27230.17;27230.17;27230.17;104846.85;104846.85;104846.85;104846.85;104846.85;0.01;0.01;0.01;0.01;0.01;19583.92;20155.68;19882.06;19882.06;20593.08;18802.99;18802.99;18802.99;18802.99;18802.99;-0.00;-0.00;-0.00;-0.00;-0.00;-7646.25;-7074.49;-7348.11;-7348.11;-6637.09;-86043.86;-86043.86;-86043.86;-86043.86;-86043.86;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
188023156416.04;220431348.79;21363.73;0.97;1.03;142.96;5.55;110.30;6.41;138.46;957.53;26935.83;26935.83;26935.83;26935.83;26935.83;92559.12;92559.12;92559.12;92559.12;92559.12;0.01;0.01;0.01;0.01;0.01;22872.35;23539.33;23221.34;23221.34;24050.13;21960.21;21960.21;21960.21;21960.21;21960.21;-0.00;-0.00;-0.00;-0.00;-0.00;-4063.48;-3396.50;-3714.49;-3714.49;-2885.70;-70598.91;-70598.91;-70598.91;-70598.91;-70598.91;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
194573595425.66;255815847.88;20141.61;0.95;1.00;138.80;5.45;96.94;6.70;130.39;1000.51;28887.17;28887.17;28887.17;28887.17;28887.17;100515.61;100515.61;100515.61;100515.61;100515.61;0.01;0.01;0.01;0.01;0.01;21017.77;21629.91;21339.22;21339.22;22099.24;20179.50;20179.50;20179.50;20179.50;20179.50;-0.00;-0.00;-0.00;-0.00;-0.00;-7869.40;-7257.26;-7547.95;-7547.95;-6787.93;-80336.11;-80336.11;-80336.11;-80336.11;-80336.11;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
176811565562.16;270560304.36;19975.26;0.99;1.00;134.25;5.32;99.89;7.44;149.77;961.86;36649.04;36649.04;36649.04;36649.04;36649.04;104817.86;104817.86;104817.86;104817.86;104817.86;0.01;0.01;0.01;0.01;0.01;20718.94;21323.08;21035.11;21035.11;21785.78;19892.67;19892.67;19892.67;19892.67;19892.67;-0.00;-0.00;-0.00;-0.00;-0.00;-15930.10;-15325.96;-15613.93;-15613.93;-14863.26;-84925.19;-84925.19;-84925.19;-84925.19;-84925.19;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
201398509795.11;256808667.69;20219.45;1.02;1.03;130.65;5.77;107.78;7.11;141.85;956.59;33875.06;33875.06;33875.06;33875.06;33875.06;107994.07;107994.07;107994.07;107994.07;107994.07;0.02;0.02;0.02;0.02;0.02;21725.81;22359.59;22057.07;22057.07;22844.80;20859.42;20859.42;20859.42;20859.42;20859.42;-0.00;-0.00;-0.00;-0.00;-0.00;-12149.25;-11515.46;-11817.99;-11817.99;-11030.26;-87134.65;-87134.65;-87134.65;-87134.65;-87134.65;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
173803050003.01;260037015.86;18283.62;1.04;0.96;126.41;5.96;95.15;7.02;140.61;922.95;34554.02;34554.02;34554.02;34554.02;34554.02;111044.01;111044.01;111044.01;111044.01;111044.01;0.02;0.02;0.02;0.02;0.02;18344.85;18879.71;18624.85;18624.85;19289.39;17613.25;17613.25;17613.25;17613.25;17613.25;-0.00;-0.00;-0.00;-0.00;-0.00;-16209.17;-15674.31;-15929.17;-15929.17;-15264.64;-93430.75;-93430.75;-93430.75;-93430.75;-93430.75;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
196090306487.29;271203819.44;23179.28;1.06;0.97;150.87;5.82;100.64;7.02;142.76;1030.78;37151.01;37151.01;37151.01;37151.01;37151.01;137180.99;137180.99;137180.99;137180.99;137180.99;0.02;0.02;0.02;0.02;0.02;23426.11;24108.99;23783.80;23783.80;24632.14;22491.86;22491.86;22491.86;22491.86;22491.86;-0.00;-0.00;-0.00;-0.00;-0.00;-13724.90;-13042.02;-13367.21;-13367.21;-12518.88;-114689.13;-114689.13;-114689.13;-114689.13;-114689.13;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
212747126941.46;247272661.90;16200.08;1.01;0.99;142.64;5.88;97.89;6.77;146.12;896.76;33231.58;33231.58;33231.58;33231.58;33231.58;114426.03;114426.03;114426.03;114426.03;114426.03;0.02;0.02;0.02;0.02;0.02;16751.16;17239.87;17006.52;17006.52;17613.98;16083.16;16083.16;16083.16;16083.16;16083.16;-0.00;-0.00;-0.00;-0.00;-0.00;-16480.42;-15991.71;-16225.06;-16225.06;-15617.60;-98342.88;-98342.88;-98342.88;-98342.88;-98342.88;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
189537689308.61;237268490.63;20422.74;0.99;0.98;142.83;5.70;107.26;7.92;132.18;972.10;28318.60;28318.60;28318.60;28318.60;28318.60;104690.71;104690.71;104690.71;104690.71;104690.71;0.01;0.01;0.01;0.01;0.01;20786.93;21393.78;21103.42;21103.42;21858.05;19958.03;19958.03;19958.03;19958.03;19958.03;-0.00;-0.00;-0.00;-0.00;-0.00;-7531.66;-6924.82;-7215.18;-7215.18;-6460.55;-84732.68;-84732.68;-84732.68;-84732.68;-84732.68;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
195933553574.84;250981162.76;19481.17;1.03;1.04;150.05;5.66;112.82;7.08;122.65;980.17;28720.26;28720.26;28720.26;28720.26;28720.26;119424.61;119424.61;119424.61;119424.61;119424.61;0.02;0.02;0.02;0.02;0.02;21093.79;21709.39;21415.15;21415.15;22180.50;20252.63;20252.63;20252.63;20252.63;20252.63;-0.00;-0.00;-0.00;-0.00;-0.00;-7626.47;-7010.86;-7305.11;-7305.11;-6539.75;-99171.99;-99171.99;-99171.99;-99171.99;-99171.99;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
