# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;R_0;R_1;R_2;R_3;R_4;R_5;R_6;R_7;R_8;R_9;R_10;R_11;R_12;R_13;R_14;S_0;S_1;S_2;S_3;S_4;S_5;S_6;S_7;S_8;S_9;S_10;S_11;S_12;S_13;S_14;G_0;G_1;G_2;G_3;G_4;G_5;G_6;G_7;G_8;G_9;G_10;G_11;G_12;G_13;G_14;I_0;I_1;I_2;I_3;I_4;I_5;I_6;I_7;I_8;I_9;I_10;I_11;I_12;I_13;I_14
211344758043.64;237450996.21;14092.30;1.01;1.02;146.39;5.61;106.58;6.79;1699.59;33626.81;33626.81;33626.81;33626.81;33626.81;117528.35;117528.35;117528.35;117528.35;117528.35;0.02;0.02;0.02;0.02;0.02;16776.16;17265.31;17032.19;17032.19;17639.96;16107.13;16107.13;16107.13;16107.13;16107.13;0.00;0.00;0.00;0.00;0.00;-16850.65;-16361.50;-16594.62;-16594.62;-15986.85;-101421.22;-101421.22;-101421.22;-101421.22;-101421.22;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
212230031490.90;218648306.69;13922.14;0.98;0.97;126.33;5.89;103.93;7.33;3083.96;26714.87;26714.87;26714.87;26714.87;26714.87;95125.61;95125.61;95125.61;95125.61;95125.61;0.01;0.01;0.01;0.01;0.01;17212.86;17715.88;17474.42;17474.42;18100.35;16526.53;16526.53;16526.53;16526.53;16526.53;0.00;0.00;0.00;0.00;0.00;-9502.01;-8998.99;-9240.45;-9240.45;-8614.52;-78599.07;-78599.07;-78599.07;-78599.07;-78599.07;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
175854031267.89;254223158.64;13578.02;1.01;0.97;148.43;5.21;101.16;6.80;3641.34;34844.93;34844.93;34844.93;34844.93;34844.93;119422.52;119422.52;119422.52;119422.52;119422.52;0.02;0.02;0.02;0.02;0.02;17352.56;17858.36;17617.53;17617.53;18245.88;16660.52;16660.52;16660.52;16660.52;16660.52;0.00;0.00;0.00;0.00;0.00;-17492.37;-16986.56;-17227.40;-17227.40;-16599.05;-102762.00;-102762.00;-102762.00;-102762.00;-102762.00;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
207487065481.36;260618892.83;13175.33;0.97;0.99;132.87;6.18;97.09;7.24;2634.61;31635.36;31635.36;31635.36;31635.36;31635.36;123945.17;123945.17;123945.17;123945.17;123945.17;0.01;0.01;0.01;0.01;0.01;16261.43;16736.41;16508.76;16508.76;17099.62;15613.02;15613.02;15613.02;15613.02;15613.02;0.00;0.00;0.00;0.00;0.00;-15373.92;-14898.94;-15126.59;-15126.59;-14535.74;-108332.15;-108332.15;-108332.15;-108332.15;-108332.15;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
187921994962.62;241563746.21;13553.95;0.99;1.06;143.26;5.45;98.76;6.87;3039.90;30946.93;30946.93;30946.93;30946.93;30946.93;111619.00;111619.00;111619.00;111619.00;111619.00;0.01;0.01;0.01;0.01;0.01;18322.79;18857.27;18602.18;18602.18;19266.48;17592.10;17592.10;17592.10;17592.10;17592.10;0.00;0.00;0.00;0.00;0.00;-12624.14;-12089.66;-12344.75;-12344.75;-11680.45;-94026.90;-94026.90;-94026.90;-94026.90;-94026.90;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
196421371471.60;227678123.18;14127.90;1.01;1.02;128.14;6.06;105.70;7.45;751.53;30398.56;30398.56;30398.56;30398.56;30398.56;107692.36;107692.36;107692.36;107692.36;107692.36;0.02;0.02;0.02;0.02;0.02;15811.55;16273.51;16051.91;16051.91;16626.67;15181.08;15181.08;15181.08;15181.08;15181.08;0.00;0.00;0.00;0.00;0.00;-14587.01;-14125.05;-14346.64;-14346.64;-13771.88;-92511.28;-92511.28;-92511.28;-92511.28;-92511.28;-0.02;-0.02;-0.02;-0.02;-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
188811021527.85;262455637.77;14494.00;0.98;1.05;135.37;5.22;113.85;6.58;3551.60;33436.67;33436.67;33436.67;33436.67;33436.67;108768.34;108768.34;108768.34;108768.34;108768.34;0.01;0.01;0.01;0.01;0.01;19725.81;20301.61;20026.20;20026.20;20742.17;18939.21;18939.21;18939.21;18939.21;18939.21;0.00;0.00;0.00;0.00;0.00;-13710.86;-13135.06;-13410.46;-13410.46;-12694.49;-89829.13;-89829.13;-89829.13;-89829.13;-89829.13;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
214862087173.88;265394660.32;14211.85;1.00;1.04;135.26;6.15;103.84;6.75;2119.23;33934.26;33934.26;33934.26;33934.26;33934.26;132694.31;132694.31;132694.31;132694.31;132694.31;0.02;0.02;0.02;0.02;0.02;17677.67;18193.90;17946.65;17946.65;18588.74;16972.77;16972.77;16972.77;16972.77;16972.77;0.00;0.00;0.00;0.00;0.00;-16256.59;-15740.36;-15987.61;-15987.61;-15345.52;-115721.55;-115721.55;-115721.55;-115721.55;-115721.55;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
210761038279.12;259054692.01;12315.60;0.96;1.01;144.98;5.88;99.85;7.73;1457.87;36916.73;36916.73;36916.73;36916.73;36916.73;126961.61;126961.61;126961.61;126961.61;126961.61;0.01;0.01;0.01;0.01;0.01;14558.58;14983.09;14780.76;14780.76;15308.21;13977.99;13977.99;13977.99;13977.99;13977.99;0.00;0.00;0.00;0.00;0.00;-22358.14;-21933.64;-22135.97;-22135.97;-21608.51;-112983.62;-112983.62;-112983.62;-112983.62;-112983.62;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
216906593394.53;234280181.04;14594.75;0.97;1.05;142.83;5.87;96.27;7.04;2861.28;29930.97;29930.97;29930.97;29930.97;29930.97;114447.90;114447.90;114447.90;114447.90;114447.90;0.01;0.01;0.01;0.01;0.01;19151.64;19710.42;19443.57;19443.57;20138.14;18387.91;18387.91;18387.91;18387.91;18387.91;0.00;0.00;0.00;0.00;0.00;-10779.32;-10220.55;-10487.40;-10487.40;-9792.83;-96059.99;-96059.99;-96059.99;-96059.99;-96059.99;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
