# X_0;X_1;X_2;R_0;R_1;S_0;S_1;G_0;G_1;I_0;I_1
662;1043;2;2;2;2;3;0;0;1;1
310;960;3;3;3;1;1;-1;-2;0;0
272;1124;2;2;2;1;1;0;-1;0;0
470;859;2;2;2;2;2;0;0;0;0
566;1010;3;3;3;2;2;0;0;0;0
647;1008;3;3;4;2;3;0;-1;0;0
507;939;2;2;3;2;2;0;0;0;0
468;1151;3;3;3;2;2;0;-1;0;0
626;965;2;2;2;2;2;0;0;1;1
643;984;2;2;3;2;3;0;0;1;0
679;1056;2;2;2;3;3;0;0;1;1
478;849;3;3;3;2;2;-1;-1;0;0
360;1061;2;2;3;1;1;-1;-1;0;0
530;917;3;3;3;2;2;0;0;0;0
557;1127;2;2;2;2;2;0;0;0;0
427;1092;3;3;4;2;2;-1;-1;0;0
470;1316;2;2;3;2;2;0;0;0;0
495;1139;3;3;3;2;2;0;0;0;0
697;936;2;2;3;3;3;0;0;1;0
517;974;2;2;2;2;2;0;0;0;0
580;1016;3;3;3;2;2;0;0;0;0
375;778;3;3;3;1;1;-1;-1;0;0
549;944;2;2;3;2;2;0;0;0;0
451;1010;2;2;3;2;2;0;0;0;0
528;1003;2;2;3;2;2;0;0;0;0
539;845;2;2;2;2;2;0;0;0;0
499;1060;2;2;2;2;2;0;0;0;0
584;1105;3;3;3;2;2;0;0;0;0
278;949;3;3;3;1;1;-1;-1;0;0
601;826;3;3;3;2;2;0;0;0;0
598;1114;3;3;3;2;2;0;0;0;0
586;851;3;3;3;2;2;0;0;0;0
393;1134;2;2;2;2;2;0;0;0;0
416;948;2;2;3;1;2;0;-1;0;0
544;894;3;3;3;2;2;0;0;0;0
544;918;2;2;3;2;2;0;0;0;0
379;1037;2;2;2;1;2;0;0;0;0
436;936;3;3;3;2;2;-1;-1;0;0
582;776;2;2;2;2;2;0;0;0;0
428;948;3;3;3;2;2;-1;-1;0;0
590;1088;3;3;3;2;2;0;0;0;0
611;1086;2;2;2;2;2;0;0;1;1
483;952;3;3;3;2;2;-1;-1;0;0
630;848;4;4;4;2;2;-1;-1;0;0
460;1011;3;3;3;2;2;0;-1;0;0
457;1085;2;2;3;2;2;0;0;0;0
493;1024;3;3;3;2;2;0;-1;0;0
403;944;3;3;3;1;2;-1;-1;0;0
496;1088;2;2;3;2;2;0;0;0;0
518;1097;2;2;3;2;2;0;0;0;0
392;1045;2;2;2;1;2;0;0;0;0
547;1061;3;3;3;2;2;0;0;0;0
322;937;2;2;2;1;1;-1;-1;0;0
515;968;3;3;3;2;2;0;-1;0;0
479;1124;2;2;3;2;2;0;0;0;0
608;902;2;2;3;2;2;0;0;0;0
503;1028;2;2;2;2;2;0;0;0;0
449;1100;3;3;3;2;2;-1;-1;0;0
411;1157;2;2;3;2;2;0;0;0;0
417;1018;2;2;3;2;2;0;0;0;0
324;795;3;3;3;1;1;-1;-1;0;0
498;1112;3;3;3;2;2;0;-1;0;0
590;974;2;2;3;2;2;0;0;0;0
364;1000;3;3;3;1;1;-1;-1;0;0
668;1185;2;2;3;3;3;0;0;1;1
637;1012;3;3;3;2;3;0;0;0;0
399;999;2;2;3;1;2;0;-1;0;0
548;1124;2;2;3;2;2;0;0;0;0
423;817;3;3;3;1;2;-1;-1;0;0
482;970;2;2;2;2;2;0;0;0;0
521;1005;2;2;3;2;2;0;0;0;0
587;973;3;3;3;2;2;0;0;0;0
237;1142;3;3;3;1;1;-1;-2;0;0
572;884;3;3;3;2;2;0;0;0;0
474;1066;3;3;3;2;2;0;-1;0;0
501;1095;2;2;3;2;2;0;0;0;0
446;1090;3;3;3;2;2;-1;-1;0;0
508;895;3;3;3;2;2;-1;-1;0;0
512;849;3;3;3;2;2;-1;-1;0;0
426;1027;2;2;3;2;2;0;0;0;0
522;875;2;2;3;2;2;0;0;0;0
544;977;3;3;3;2;2;0;0;0;0
717;924;3;3;3;3;3;0;0;0;0
498;926;2;2;2;2;2;0;0;0;0
497;986;2;2;3;2;2;0;0;0;0
395;1018;2;2;3;1;2;0;-1;0;0
372;973;3;3;3;1;1;-1;-1;0;0
560;991;3;3;3;2;2;0;0;0;0
555;950;2;2;2;2;2;0;0;0;0
719;956;3;3;3;3;3;0;0;0;0
585;1045;3;3;3;2;2;0;0;0;0
540;1022;2;2;3;2;2;0;0;0;0
501;1252;3;3;3;2;2;0;0;0;0
520;892;2;2;3;2;2;0;0;0;0
567;932;3;3;3;2;2;0;-1;0;0
590;966;3;3;3;2;2;0;0;0;0
496;986;3;3;3;2;2;0;-1;0;0
360;1152;2;2;3;1;2;0;-1;0;0
560;959;3;3;3;2;2;0;0;0;0
523;896;2;2;2;2;2;0;0;0;0
