# X_0;X_1;R_0;S_0;G_0;I_0
9921;117213;117213;119052;-1838;0
11338;118799;118799;136056;-17256;0
9691;117813;117813;116292;1521;1
9827;125727;125727;117924;7803;1
9074;110777;110777;108888;1889;1
9436;118677;118677;113232;5445;1
8020;117739;117739;96240;21499;1
9399;118448;118448;112788;5660;1
10405;117643;117643;124860;-7216;0
8998;114762;114762;107976;6786;1
9707;122344;122344;116484;5860;1
9625;118283;118283;115500;2783;1
10962;122998;122998;131544;-8545;0
10133;126566;126566;121596;4970;1
9645;120590;120590;115740;4850;1
11811;118633;118633;141732;-23098;0
10923;116260;116260;131076;-14815;0
8948;120746;120746;107376;13370;1
10454;120037;120037;125448;-5410;0
10145;113371;113371;121740;-8368;0
9038;120126;120126;108456;11670;1
10053;120386;120386;120636;-249;0
9946;125575;125575;119352;6223;1
9342;111006;111006;112104;-1097;0
9838;113198;113198;118056;-4857;0
9710;121528;121528;116520;5008;1
9026;122667;122667;108312;14355;1
8005;122636;122636;96060;26576;1
10941;125665;125665;131292;-5626;0
10129;119789;119789;121548;-1758;0
8251;117450;117450;99012;18438;1
10461;120598;120598;125532;-4933;0
9082;120400;120400;108984;11416;1
9426;115417;115417;113112;2305;1
10993;117672;117672;131916;-14243;0
11080;123590;123590;132960;-9369;0
10862;118428;118428;130344;-11915;0
10272;119008;119008;123264;-4255;0
9869;116833;116833;118428;-1594;0
10812;129615;129615;129744;-128;0
10193;121030;121030;122316;-1285;0
8583;124650;124650;102996;21654;1
6984;112213;112213;83808;28405;1
10103;124494;124494;121236;3258;1
11714;121889;121889;140568;-18678;0
10123;121624;121624;121476;148;1
8828;123313;123313;105936;17377;1
12393;122202;122202;148716;-26513;0
9216;119473;119473;110592;8881;1
10207;116770;116770;122484;-5713;0
10744;117626;117626;128928;-11301;0
10739;114377;114377;128868;-14490;0
9590;114838;114838;115080;-241;0
10844;127987;127987;130128;-2140;0
9174;118978;118978;110088;8890;1
10940;117215;117215;131280;-14064;0
9518;121809;121809;114216;7593;1
9648;114662;114662;115776;-1113;0
8467;118701;118701;101604;17097;1
8750;120285;120285;105000;15285;1
9565;118541;118541;114780;3761;1
9008;117562;117562;108096;9466;1
7250;117584;117584;87000;30584;1
11280;120975;120975;135360;-14384;0
8996;120412;120412;107952;12460;1
10924;118418;118418;131088;-12669;0
9598;120079;120079;115176;4903;1
9088;117447;117447;109056;8391;1
10295;123637;123637;123540;97;1
11003;116692;116692;132036;-15343;0
10066;118200;118200;120792;-2591;0
9409;122026;122026;112908;9118;1
9724;114604;114604;116688;-2083;0
9610;122211;122211;115320;6891;1
8465;119171;119171;101580;17591;1
10146;118849;118849;121752;-2902;0
10127;119353;119353;121524;-2170;0
7849;124043;124043;94188;29855;1
8834;115774;115774;106008;9766;1
11564;117278;117278;138768;-21489;0
9886;120739;120739;118632;2107;1
8506;118599;118599;102072;16527;1
9474;121227;121227;113688;7539;1
10676;121074;121074;128112;-7037;0
8878;128204;128204;106536;21668;1
9925;122049;122049;119100;2949;1
8635;117153;117153;103620;13533;1
10306;117515;117515;123672;-6156;0
10295;118583;118583;123540;-4956;0
10811;122410;122410;129732;-7321;0
7196;121011;121011;86352;34659;1
10470;125339;125339;125640;-300;0
9394;114262;114262;112728;1534;1
9647;124681;124681;115764;8917;1
10680;116777;116777;128160;-11382;0
9023;124151;124151;108276;15875;1
9260;117829;117829;111120;6709;1
10967;118260;118260;131604;-13343;0
10265;125003;125003;123180;1823;1
10292;124078;124078;123504;574;1
