# X_0;X_1;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
20455.42;939.05;853.68;1.00;1.50;27591.93;10509.74;1989.00;26738.24;10508.74;1987.50;1.00;1.00;1.00
19465.40;1003.98;912.71;1.00;1.50;27591.93;10509.74;1989.00;26679.22;10508.74;1987.50;1.00;1.00;1.00
18620.09;930.09;845.54;1.00;1.50;27591.93;10509.74;1989.00;26746.39;10508.74;1987.50;1.00;1.00;1.00
20174.40;953.28;866.62;1.00;1.50;27591.93;10509.74;1989.00;26725.31;10508.74;1987.50;1.00;1.00;1.00
20670.16;1015.68;923.35;1.00;1.50;27591.93;10509.74;1989.00;26668.58;10508.74;1987.50;1.00;1.00;1.00
20980.85;811.11;737.38;1.00;1.50;27591.93;10509.74;1989.00;26854.55;10508.74;1987.50;1.00;1.00;1.00
19780.58;1003.03;911.85;1.00;1.50;27591.93;10509.74;1989.00;26680.08;10508.74;1987.50;1.00;1.00;1.00
19288.15;899.36;817.60;1.00;1.50;27591.93;10509.74;1989.00;26774.33;10508.74;1987.50;1.00;1.00;1.00
18598.16;1197.18;1088.34;1.00;1.50;27591.93;10509.74;1989.00;26503.59;10508.74;1987.50;1.00;1.00;1.00
20157.83;995.93;905.39;1.00;1.50;27591.93;10509.74;1989.00;26686.53;10508.74;1987.50;1.00;1.00;1.00
