# X_0;X_1;X_2;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
232673552480.38;246174876.80;9267.64;31197.07;108254.28;1.50;27598.20;10513.58;0.00;-3598.87;-97740.70;-1.13;0.00;0.00;0.00
200230818920.56;228746510.90;10662.82;28988.42;100590.24;1.50;27598.20;10513.58;0.00;-1390.22;-90076.66;-1.13;0.00;0.00;0.00
218375522200.56;249732752.74;10284.69;31647.95;109818.84;1.50;27598.20;10513.58;0.00;-4049.75;-99305.26;-1.13;0.00;0.00;0.00
178832508368.01;225225445.31;9314.70;28542.21;99041.87;1.50;27598.20;10513.58;0.00;-944.01;-88528.29;-1.13;0.00;0.00;0.00
191993975316.90;253657365.75;9338.09;32145.31;111544.67;1.50;27598.20;10513.58;0.00;-4547.11;-101031.09;-1.13;0.00;0.00;0.00
200970117959.85;253873721.35;10885.31;32172.72;111639.81;1.50;27598.20;10513.58;0.00;-4574.52;-101126.24;-1.13;0.00;0.00;0.00
201192928061.72;208410089.51;10850.19;26411.24;91647.39;1.50;27598.20;10513.58;0.00;1186.96;-81133.81;-1.13;1.00;0.00;0.00
189915201049.14;254243044.62;9774.38;32219.53;111802.22;1.50;27598.20;10513.58;0.00;-4621.33;-101288.64;-1.13;0.00;0.00;0.00
228311306636.86;262906451.46;10640.31;33317.42;115611.92;1.50;27598.20;10513.58;0.00;-5719.22;-105098.34;-1.13;0.00;0.00;0.00
208644214545.30;250173394.53;9065.64;31703.79;110012.61;1.50;27598.20;10513.58;0.00;-4105.59;-99499.03;-1.13;0.00;0.00;0.00
