# X_0;X_1;X_2;X_3;X_4;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
178345562214.09;252216058.58;10882.00;1.01;1.10;31962.65;110910.87;0.01;19990.85;10881.00;0.00;-10347.03;-100253.14;-0.02;0.00;0.00;0.00
218874246429.47;259269885.03;8710.38;1.02;1.02;32856.57;114012.75;0.01;16002.23;8710.00;0.00;-17286.11;-107748.96;-0.02;0.00;0.00;0.00
220342182121.76;291866974.65;10902.80;1.06;0.99;36987.51;128347.18;0.01;20029.43;10902.00;0.00;-19175.88;-124847.01;-0.02;0.00;0.00;0.00
186419699189.63;246627318.46;8186.84;1.05;0.97;31254.41;108453.24;0.01;15039.52;8186.00;0.00;-18331.78;-106421.50;-0.02;0.00;0.00;0.00
199443630781.76;252594743.19;12476.31;0.95;0.96;32010.64;111077.39;0.01;22921.22;12476.00;0.00;-8547.51;-93975.84;-0.01;0.00;0.00;0.00
218803246688.73;250338965.06;11079.70;0.94;1.00;31724.77;110085.42;0.01;20354.62;11079.00;0.00;-9414.34;-92083.48;-0.01;0.00;0.00;0.00
179657072703.97;221756687.50;10574.70;1.12;0.96;28102.62;97516.50;0.01;19426.82;10574.00;0.00;-12835.70;-99308.68;-0.02;0.00;0.00;0.00
196154088562.93;283350856.30;12339.63;0.99;1.01;35908.28;124602.25;0.01;22669.52;12339.00;0.00;-12382.69;-110282.88;-0.01;0.00;0.00;0.00
224533731247.14;282274424.09;8239.86;1.06;1.02;35771.87;124128.89;0.01;15136.90;8239.00;0.00;-22519.80;-123129.72;-0.02;0.00;0.00;0.00
209649770750.72;215242829.65;10564.94;1.01;1.04;27277.14;94652.06;0.01;19408.45;10564.00;0.00;-7436.87;-84999.86;-0.02;0.00;0.00;0.00
