# X_0;X_1;X_2;R_0;S_0;G_0;I_0
0.28;11.59;36.79;2942.82;2264.00;-678.83;0.00
0.28;11.88;35.48;2838.52;2287.42;-551.11;0.00
0.28;9.97;46.55;3724.04;2198.51;-1525.53;0.00
0.24;11.72;43.56;3484.92;2007.95;-1476.97;0.00
0.27;10.08;42.53;3402.16;2097.47;-1304.69;0.00
0.29;8.64;37.66;3012.42;2180.56;-831.86;0.00
0.25;10.94;38.34;3067.15;2035.79;-1031.36;0.00
0.26;10.08;39.35;3148.14;2031.49;-1116.65;0.00
0.26;8.70;36.70;2936.05;1988.39;-947.66;0.00
0.25;9.98;37.13;2970.16;2018.25;-951.91;0.00
0.29;10.14;41.33;3306.78;2231.31;-1075.47;0.00
0.25;10.42;37.87;3029.21;2003.83;-1025.38;0.00
0.27;10.08;41.20;3296.02;2118.43;-1177.59;0.00
0.24;11.22;45.61;3648.61;2033.36;-1615.25;0.00
0.27;11.88;36.30;2903.64;2187.52;-716.12;0.00
0.23;9.61;38.14;3051.37;1843.63;-1207.74;0.00
0.22;8.06;33.94;2715.53;1724.87;-990.65;0.00
0.27;8.82;32.77;2621.95;2023.67;-598.28;0.00
0.26;8.95;40.65;3252.31;1998.27;-1254.04;0.00
0.28;9.29;36.14;2890.90;2117.19;-773.71;0.00
0.24;10.78;33.96;2716.94;2004.69;-712.25;0.00
0.25;11.79;37.12;2969.85;2107.97;-861.88;0.00
0.33;10.32;46.63;3730.36;2484.06;-1246.30;0.00
0.27;9.68;39.37;3149.34;2088.92;-1060.42;0.00
0.21;11.48;45.50;3639.91;1865.77;-1774.14;0.00
0.25;10.09;33.43;2674.49;1980.12;-694.37;0.00
0.32;9.20;40.17;3213.87;2360.42;-853.45;0.00
0.24;10.65;25.07;2005.71;1952.41;-53.30;0.00
0.25;10.39;36.25;2900.13;2028.63;-871.50;0.00
0.25;9.18;44.24;3539.60;1926.97;-1612.63;0.00
0.27;10.17;41.54;3323.42;2130.71;-1192.71;0.00
0.25;8.63;44.22;3537.60;1897.10;-1640.50;0.00
0.27;10.22;40.31;3224.85;2112.00;-1112.85;0.00
0.27;11.20;36.88;2950.62;2163.98;-786.64;0.00
0.26;11.69;38.99;3118.92;2156.96;-961.95;0.00
0.27;8.87;39.86;3188.99;2079.88;-1109.11;0.00
0.21;11.13;45.35;3627.97;1812.30;-1815.67;0.00
0.25;10.40;36.59;2927.58;2022.42;-905.16;0.00
0.28;10.82;40.52;3241.92;2216.34;-1025.58;0.00
0.23;11.25;34.54;2762.83;1955.56;-807.27;0.00
0.28;8.57;45.87;3669.61;2102.50;-1567.12;0.00
0.21;11.46;49.40;3952.15;1841.21;-2110.93;0.00
0.25;9.70;46.33;3706.19;1960.95;-1745.24;0.00
0.19;10.30;42.18;3374.71;1672.15;-1702.56;0.00
0.26;10.01;35.30;2823.99;2039.15;-784.84;0.00
0.23;9.55;34.72;2777.80;1839.86;-937.94;0.00
0.25;8.75;40.65;3252.32;1937.08;-1315.24;0.00
0.24;10.24;32.84;2627.18;1945.23;-681.95;0.00
0.22;9.94;40.40;3232.32;1823.51;-1408.82;0.00
0.28;10.52;28.74;2298.85;2201.99;-96.86;0.00
0.22;8.91;43.20;3455.62;1784.59;-1671.03;0.00
0.21;10.87;29.83;2386.72;1797.15;-589.57;0.00
0.27;10.81;35.38;2830.02;2129.25;-700.78;0.00
0.27;8.88;36.89;2951.20;2061.42;-889.78;0.00
0.21;10.57;45.27;3621.61;1810.59;-1811.02;0.00
0.21;10.59;44.35;3548.28;1798.47;-1749.81;0.00
0.24;9.10;39.94;3195.10;1917.65;-1277.45;0.00
0.26;9.94;35.29;2823.30;2069.12;-754.18;0.00
0.20;10.11;43.16;3452.93;1700.69;-1752.24;0.00
0.26;9.21;30.91;2472.42;2025.36;-447.06;0.00
0.25;10.02;44.55;3563.96;1976.19;-1587.77;0.00
0.25;8.66;46.91;3752.70;1912.90;-1839.80;0.00
0.23;8.23;40.98;3278.22;1776.61;-1501.61;0.00
0.33;11.91;35.83;2866.16;2577.91;-288.25;0.00
0.26;9.50;52.59;4207.14;2016.90;-2190.24;0.00
0.25;11.56;39.97;3197.53;2107.86;-1089.67;0.00
0.26;10.72;38.13;3050.60;2070.01;-980.59;0.00
0.25;9.21;36.38;2910.38;1947.42;-962.95;0.00
0.25;10.17;43.69;3495.33;2021.68;-1473.65;0.00
0.23;10.50;36.58;2926.52;1888.71;-1037.81;0.00
0.25;10.18;30.20;2415.94;1983.02;-432.91;0.00
0.27;10.66;38.36;3068.69;2166.04;-902.65;0.00
0.22;10.54;36.46;2916.76;1876.06;-1040.70;0.00
0.26;10.17;40.53;3242.02;2062.36;-1179.67;0.00
0.24;10.43;44.81;3585.06;1947.02;-1638.04;0.00
0.27;11.31;33.14;2651.46;2169.87;-481.59;0.00
0.25;11.43;40.84;3267.14;2097.34;-1169.79;0.00
0.23;10.93;46.30;3703.80;1913.68;-1790.12;0.00
0.30;11.18;40.09;3206.84;2358.20;-848.64;0.00
0.24;11.20;41.37;3309.34;2021.43;-1287.91;0.00
0.25;9.43;42.30;3383.82;1979.17;-1404.65;0.00
0.33;9.66;43.88;3510.18;2431.74;-1078.44;0.00
0.29;10.27;45.79;3663.24;2242.41;-1420.83;0.00
0.22;7.89;36.08;2886.77;1711.04;-1175.72;0.00
0.27;10.17;42.12;3369.76;2124.88;-1244.88;0.00
0.25;9.82;37.51;3000.87;2003.61;-997.27;0.00
0.26;11.66;46.71;3736.64;2134.44;-1602.20;0.00
0.29;10.00;37.16;2972.76;2234.98;-737.78;0.00
0.25;10.51;34.12;2729.98;2028.10;-701.89;0.00
0.28;9.59;44.14;3531.20;2142.24;-1388.96;0.00
0.27;10.91;38.41;3072.44;2188.75;-883.70;0.00
0.27;10.49;37.02;2961.55;2156.23;-805.32;0.00
0.25;12.63;32.01;2560.89;2166.95;-393.94;0.00
0.27;10.60;35.13;2810.76;2156.53;-654.23;0.00
0.23;10.00;39.68;3174.02;1854.68;-1319.34;0.00
0.29;8.07;41.83;3346.48;2147.78;-1198.70;0.00
0.20;11.08;45.68;3654.01;1768.39;-1885.62;0.00
0.23;10.90;48.03;3842.63;1919.80;-1922.83;0.00
0.21;11.00;45.73;3658.07;1792.32;-1865.75;0.00
0.23;8.62;45.07;3605.34;1822.89;-1782.45;0.00
0.23;9.25;36.07;2885.70;1837.52;-1048.18;0.00
0.29;11.75;43.08;3446.31;2348.22;-1098.09;0.00
0.26;9.93;38.27;3061.82;2031.61;-1030.21;0.00
0.27;11.07;37.67;3013.78;2183.19;-830.59;0.00
0.28;10.05;39.21;3136.78;2154.12;-982.66;0.00
0.22;11.53;47.54;3803.35;1881.68;-1921.67;0.00
0.22;10.82;35.35;2828.30;1890.40;-937.90;0.00
0.25;9.28;45.34;3627.52;1945.15;-1682.37;0.00
0.24;9.33;45.09;3606.81;1887.36;-1719.45;0.00
0.29;11.12;33.88;2710.16;2293.77;-416.39;0.00
