# X_0;X_1;X_2;R_0;S_0;G_0;I_0
0.26;8.30;41.41;3312.58;1949.04;-1363.54;0.00
0.26;11.05;48.17;3853.34;2120.69;-1732.65;0.00
0.26;12.08;35.61;2848.41;2179.08;-669.33;0.00
0.23;11.30;38.09;3047.23;1971.06;-1076.17;0.00
0.25;11.35;40.64;3251.06;2088.92;-1162.14;0.00
0.23;7.95;33.35;2667.67;1763.13;-904.54;0.00
0.26;11.67;38.47;3077.69;2120.83;-956.86;0.00
0.26;8.88;36.88;2950.19;1990.10;-960.09;0.00
0.25;9.82;44.01;3521.15;1963.16;-1557.99;0.00
0.23;12.07;35.21;2816.52;1988.32;-828.20;0.00
0.22;10.93;36.09;2887.18;1882.44;-1004.74;0.00
0.23;11.24;36.98;2958.09;1943.12;-1014.97;0.00
0.26;9.58;34.98;2798.69;2041.13;-757.55;0.00
0.24;9.68;40.47;3237.79;1947.20;-1290.59;0.00
0.23;9.81;41.29;3303.58;1874.51;-1429.07;0.00
0.25;12.87;38.95;3116.40;2133.78;-982.62;0.00
0.23;11.74;42.13;3370.11;1996.49;-1373.62;0.00
0.28;9.60;32.90;2632.21;2132.26;-499.95;0.00
0.24;10.66;42.12;3369.89;1949.09;-1420.80;0.00
0.30;12.01;36.63;2930.12;2417.85;-512.27;0.00
0.19;10.50;36.33;2906.58;1654.23;-1252.35;0.00
0.24;9.67;37.56;3004.47;1903.50;-1100.98;0.00
0.26;9.40;41.66;3332.81;1997.65;-1335.16;0.00
0.25;9.92;42.18;3374.79;1986.22;-1388.57;0.00
0.22;9.90;39.27;3141.37;1812.62;-1328.75;0.00
0.28;8.76;46.60;3728.29;2091.97;-1636.32;0.00
0.22;10.44;44.71;3576.54;1870.84;-1705.70;0.00
0.32;10.41;30.82;2465.43;2423.05;-42.37;0.00
0.29;8.05;45.64;3651.27;2125.82;-1525.45;0.00
0.22;10.80;33.00;2639.90;1847.51;-792.39;0.00
0.22;12.40;41.57;3325.51;1965.50;-1360.02;0.00
0.18;10.13;41.27;3301.60;1570.29;-1731.31;0.00
0.25;12.25;36.65;2931.89;2132.38;-799.51;0.00
0.23;9.79;40.67;3253.56;1847.85;-1405.70;0.00
0.19;10.54;37.12;2969.48;1673.54;-1295.94;0.00
0.22;9.89;49.08;3926.51;1806.41;-2120.10;0.00
0.24;9.79;41.66;3333.17;1951.28;-1381.88;0.00
0.23;9.21;48.97;3917.90;1816.52;-2101.38;0.00
0.26;8.69;40.76;3260.50;1962.69;-1297.80;0.00
0.24;9.62;45.16;3613.19;1916.08;-1697.11;0.00
0.25;9.55;42.44;3394.84;1958.70;-1436.14;0.00
0.26;8.17;37.58;3006.73;1932.77;-1073.96;0.00
0.28;10.69;42.29;3383.02;2236.03;-1146.99;0.00
0.27;12.01;33.74;2699.27;2202.67;-496.60;0.00
0.26;9.74;33.22;2657.25;2032.47;-624.78;0.00
0.20;9.48;43.07;3445.51;1698.34;-1747.17;0.00
0.25;9.03;42.55;3404.02;1963.49;-1440.53;0.00
0.28;10.82;36.65;2932.20;2229.72;-702.48;0.00
0.26;11.98;40.99;3279.22;2188.14;-1091.08;0.00
0.27;10.04;44.64;3570.85;2119.69;-1451.16;0.00
0.29;9.68;39.65;3172.09;2196.31;-975.78;0.00
0.26;8.72;41.80;3344.19;2004.78;-1339.41;0.00
0.26;9.79;39.69;3175.42;2017.86;-1157.55;0.00
0.24;11.60;41.55;3324.22;2034.26;-1289.96;0.00
0.24;9.79;35.05;2804.23;1945.90;-858.32;0.00
0.27;11.06;41.02;3281.37;2178.95;-1102.42;0.00
0.26;9.65;31.74;2539.43;2048.48;-490.95;0.00
0.30;10.98;48.67;3893.27;2324.37;-1568.90;0.00
0.28;11.16;41.08;3286.45;2254.35;-1032.10;0.00
0.25;10.99;40.70;3256.34;2058.41;-1197.93;0.00
0.25;10.92;33.97;2717.76;2031.01;-686.75;0.00
0.29;10.04;38.15;3052.18;2262.07;-790.10;0.00
0.20;11.74;39.84;3186.86;1788.00;-1398.86;0.00
0.26;9.45;36.73;2938.70;2053.50;-885.20;0.00
0.23;12.43;39.39;3150.96;2035.66;-1115.31;0.00
0.23;10.63;38.24;3059.15;1887.12;-1172.03;0.00
0.28;13.11;40.02;3201.57;2336.28;-865.29;0.00
0.28;10.92;40.94;3275.47;2211.39;-1064.08;0.00
0.24;7.86;31.02;2481.73;1846.36;-635.37;0.00
0.29;10.97;42.37;3389.66;2271.65;-1118.01;0.00
0.25;9.27;42.16;3373.01;1957.19;-1415.81;0.00
0.27;10.88;38.60;3087.97;2143.65;-944.32;0.00
0.24;7.29;35.94;2875.10;1789.66;-1085.45;0.00
0.26;11.50;38.87;3109.72;2127.80;-981.91;0.00
0.29;9.22;49.47;3957.25;2206.55;-1750.69;0.00
0.28;10.33;39.01;3121.19;2187.50;-933.69;0.00
0.28;10.02;40.63;3250.26;2189.71;-1060.55;0.00
0.26;9.65;37.72;3017.40;2062.35;-955.05;0.00
0.25;9.63;44.60;3568.27;1990.84;-1577.44;0.00
0.28;11.56;34.58;2766.22;2257.61;-508.61;0.00
0.26;9.68;36.58;2926.77;2046.44;-880.33;0.00
0.24;8.70;36.70;2935.75;1879.87;-1055.88;0.00
0.28;8.00;41.21;3296.45;2077.64;-1218.81;0.00
0.24;9.80;40.89;3270.96;1911.25;-1359.72;0.00
0.30;9.00;38.62;3089.54;2214.11;-875.43;0.00
0.27;11.38;43.31;3464.67;2178.98;-1285.69;0.00
0.21;8.05;38.80;3104.24;1661.34;-1442.90;0.00
0.30;10.17;34.23;2738.27;2281.73;-456.54;0.00
0.25;10.64;42.52;3401.31;2010.58;-1390.73;0.00
0.26;10.58;41.60;3328.38;2115.50;-1212.87;0.00
0.29;10.36;35.94;2875.57;2238.24;-637.34;0.00
0.23;10.91;39.66;3173.01;1959.43;-1213.59;0.00
0.26;11.57;44.49;3558.98;2145.25;-1413.74;0.00
0.25;9.44;43.67;3493.51;1938.82;-1554.69;0.00
0.22;11.46;42.21;3376.60;1912.69;-1463.92;0.00
0.25;9.75;44.09;3527.42;1978.33;-1549.09;0.00
0.21;11.12;29.92;2393.72;1835.74;-557.98;0.00
