# X_0;X_1;X_2;R_0;R_1;S_0;S_1;G_0;G_1;I_0;I_1
593;914;2;2;3;2;2;0;0;0;0
588;1203;3;3;3;2;2;0;0;0;0
419;1025;2;2;3;2;2;0;-1;0;0
495;1120;2;2;3;2;2;0;0;0;0
559;982;3;3;3;2;2;0;-1;0;0
696;944;2;2;3;3;3;0;0;1;1
384;1040;3;3;3;1;2;-1;-1;0;0
423;959;2;2;3;2;2;0;-1;0;0
431;1076;2;2;3;2;2;0;0;0;0
506;976;3;3;3;2;2;-1;-1;0;0
622;1043;2;2;3;2;2;0;0;0;0
419;1006;2;2;3;2;2;0;0;0;0
416;734;3;3;3;1;1;-1;-1;0;0
450;1090;2;2;2;2;2;0;0;0;0
459;961;3;3;3;2;2;-1;-1;0;0
645;1054;3;3;4;2;3;0;-1;0;0
575;878;2;2;3;2;2;0;0;0;0
413;924;2;2;3;1;2;0;-1;0;0
572;989;2;2;2;2;2;0;0;0;0
532;1039;2;2;3;2;2;0;0;0;0
529;1063;3;3;3;2;2;0;-1;0;0
443;1199;3;3;3;2;2;-1;-1;0;0
612;1072;2;2;3;2;2;0;0;0;0
524;1095;3;3;3;2;2;0;0;0;0
583;926;2;2;3;2;2;0;0;0;0
378;1067;2;2;2;1;2;0;0;0;0
201;945;2;2;3;1;1;-1;-1;0;0
551;1080;3;3;3;2;2;0;0;0;0
509;855;2;2;2;2;2;0;0;0;0
637;954;3;3;3;2;2;0;0;0;0
526;1017;2;2;3;2;2;0;0;0;0
375;1041;3;3;3;1;1;-1;-1;0;0
370;1113;3;3;3;1;2;-1;-1;0;0
451;1037;3;3;3;2;2;-1;-1;0;0
470;1107;3;3;3;2;2;-1;-1;0;0
432;971;3;3;3;2;2;-1;-1;0;0
567;1050;3;3;3;2;2;0;0;0;0
334;940;2;2;3;1;1;-1;-1;0;0
363;943;3;3;3;1;1;-1;-1;0;0
564;1120;2;2;2;2;2;0;0;1;0
457;958;2;2;3;2;2;0;0;0;0
515;959;2;2;3;2;2;0;0;0;0
551;790;2;2;3;2;2;0;0;0;0
482;925;2;2;3;2;2;0;0;0;0
613;918;2;2;3;2;2;0;0;0;0
450;980;3;3;3;2;2;-1;-1;0;0
432;971;2;2;3;2;2;0;-1;0;0
571;1025;2;2;3;2;2;0;0;0;0
569;1041;2;2;3;2;2;0;0;0;0
522;1042;2;2;3;2;2;0;0;0;0
518;926;2;2;2;2;2;0;0;0;0
728;1063;3;3;3;3;3;0;0;1;1
436;1011;2;2;2;2;2;0;0;0;0
522;963;3;3;3;2;2;0;0;0;0
394;1204;2;2;2;2;2;0;0;0;0
462;768;2;2;3;2;2;0;-1;0;0
527;1011;2;2;2;2;2;0;0;0;0
518;892;3;3;3;2;2;0;-1;0;0
537;918;2;2;3;2;2;0;0;0;0
533;1062;2;2;2;2;2;0;0;1;0
520;1017;2;2;3;2;2;0;0;0;0
565;908;2;2;2;2;2;0;0;0;0
438;995;3;3;3;2;2;0;-1;0;0
649;842;2;2;3;2;2;0;0;0;0
432;910;3;3;3;2;2;0;-1;0;0
402;847;2;2;3;1;1;0;-1;0;0
359;955;2;2;2;1;1;0;0;0;0
362;941;2;2;3;1;1;0;-1;0;0
595;1057;3;3;3;2;2;0;0;0;0
404;701;3;3;3;1;1;-1;-1;0;0
595;915;2;2;3;2;2;0;0;0;0
542;1003;3;3;3;2;2;0;0;0;0
562;1249;3;3;3;2;2;0;0;0;0
469;922;3;3;3;2;2;0;-1;0;0
377;949;2;2;3;1;1;0;-1;0;0
632;1003;2;2;3;2;2;0;0;0;0
563;1006;2;2;2;2;2;0;0;0;0
624;1100;2;2;3;2;2;0;0;1;0
368;858;2;2;2;1;1;0;0;0;0
486;1020;2;2;3;2;2;0;0;0;0
396;1089;3;3;3;2;2;-1;-1;0;0
600;976;2;2;3;2;2;0;0;0;0
630;890;2;2;3;2;2;0;0;0;0
485;1022;2;2;3;2;2;0;0;0;0
537;820;3;3;3;2;2;-1;-1;0;0
463;1049;2;2;3;2;2;0;0;0;0
574;1028;2;2;3;2;2;0;0;0;0
620;1212;2;2;3;2;3;0;0;0;0
590;905;3;3;3;2;2;0;0;0;0
599;1062;2;2;3;2;2;0;0;0;0
344;898;3;3;3;1;1;-1;-1;0;0
468;913;3;3;3;2;2;0;-1;0;0
492;898;2;2;2;2;2;0;0;0;0
537;836;2;2;3;2;2;0;0;0;0
697;1045;2;2;3;3;3;0;0;1;1
407;1070;3;3;3;2;2;-1;-1;0;0
556;1000;3;3;3;2;2;0;-1;0;0
293;1068;2;2;2;1;1;-1;-1;0;0
497;1034;3;3;3;2;2;0;-1;0;0
728;870;3;3;3;3;3;0;0;0;0
535;979;2;2;2;2;2;0;0;0;0
557;923;3;3;3;2;2;0;0;0;0
588;1029;2;2;3;2;2;0;0;0;0
559;971;3;3;3;2;2;0;0;0;0
330;799;2;2;2;1;1;-1;-1;0;0
455;1025;2;2;2;2;2;0;0;0;0
383;1031;2;2;2;1;2;0;0;0;0
631;1111;2;2;3;2;3;0;0;0;0
458;914;3;3;3;2;2;-1;-1;0;0
535;1188;2;2;3;2;2;0;0;0;0
487;786;2;2;2;2;2;0;0;0;0
396;967;3;3;3;1;2;-1;-1;0;0
539;837;2;2;2;2;2;0;0;0;0
502;1141;3;3;3;2;2;0;0;0;0
570;908;2;2;3;2;2;0;0;0;0
494;990;2;2;3;2;2;0;0;0;0
559;901;2;2;3;2;2;0;0;0;0
490;1088;3;3;3;2;2;0;0;0;0
596;1077;2;2;2;2;2;0;0;1;1
554;887;3;3;3;2;2;0;0;0;0
728;684;3;3;3;3;3;0;0;1;0
534;996;2;2;3;2;2;0;0;0;0
675;958;2;2;2;2;3;0;0;1;1
327;860;2;2;2;1;1;0;-1;0;0
475;1045;3;3;3;2;2;0;0;0;0
535;1106;2;2;3;2;2;0;0;0;0
410;1057;2;2;2;2;2;0;0;0;0
507;1004;2;2;2;2;2;0;0;0;0
541;920;2;2;3;2;2;0;0;0;0
470;1055;2;2;3;2;2;0;0;0;0
596;805;3;3;3;2;2;0;0;0;0
434;1185;3;3;3;2;2;-1;-1;0;0
492;1138;2;2;2;2;2;0;0;0;0
387;976;3;3;3;1;2;-1;-1;0;0
472;856;2;2;3;2;2;0;0;0;0
675;1101;2;2;2;3;3;0;0;1;1
684;1040;2;2;2;3;3;0;0;1;1
540;1100;3;3;3;2;2;0;0;0;0
398;1109;3;3;3;2;2;-1;-1;0;0
540;881;2;2;2;2;2;0;0;0;0
398;941;3;3;3;1;2;-1;-1;0;0
677;946;2;2;3;2;3;0;0;1;0
414;1043;3;3;3;2;2;-1;-1;0;0
595;1094;2;2;2;2;2;0;0;1;0
733;975;2;2;2;3;3;0;0;1;1
447;1044;2;2;3;2;2;0;0;0;0
590;1135;2;2;3;2;2;0;0;0;0
478;904;2;2;2;2;2;0;0;0;0
562;927;3;3;3;2;2;0;0;0;0
439;933;2;2;3;2;2;0;0;0;0
485;1148;2;2;2;2;2;0;0;0;0
447;855;3;3;3;2;2;-1;-1;0;0
476;955;2;2;3;2;2;0;0;0;0
512;1070;2;2;3;2;2;0;0;0;0
752;936;3;3;3;3;3;0;0;0;0
389;869;2;2;2;1;1;0;0;0;0
698;952;3;3;3;3;3;0;0;0;0
396;1052;2;2;3;1;2;0;0;0;0
618;909;3;3;3;2;2;0;0;0;0
389;979;2;2;3;1;2;0;-1;0;0
554;1004;3;3;3;2;2;0;0;0;0
468;1015;3;3;3;2;2;-1;-1;0;0
492;1120;2;2;2;2;2;0;0;0;0
544;1012;2;2;3;2;2;0;0;0;0
327;1017;3;3;3;1;1;-1;-1;0;0
562;977;3;3;3;2;2;0;0;0;0
493;1011;3;3;3;2;2;0;0;0;0
396;771;2;2;3;1;1;0;-1;0;0
469;1137;2;2;2;2;2;0;0;0;0
521;926;2;2;2;2;2;0;0;0;0
435;1162;3;3;3;2;2;-1;-1;0;0
416;954;2;2;3;2;2;0;0;0;0
486;1062;2;2;2;2;2;0;0;0;0
634;925;3;3;3;2;2;0;0;0;0
551;1069;3;3;3;2;2;0;0;0;0
424;763;3;3;3;1;2;-1;-1;0;0
458;1049;2;2;3;2;2;0;0;0;0
487;1040;3;3;3;2;2;-1;-1;0;0
444;941;2;2;2;2;2;0;0;0;0
474;1029;2;2;2;2;2;0;0;0;0
500;1085;3;3;3;2;2;0;0;0;0
458;896;3;3;3;2;2;0;-1;0;0
415;976;2;2;3;2;2;0;-1;0;0
427;1046;2;2;2;2;2;0;0;0;0
270;1045;3;3;3;1;1;-1;-1;0;0
694;887;3;3;3;3;3;0;0;0;0
432;1053;2;2;3;2;2;0;0;0;0
572;942;4;4;4;2;2;-1;-1;0;0
621;1033;2;2;3;2;2;0;0;0;0
689;1054;2;2;3;3;3;0;0;1;1
462;971;3;3;3;2;2;0;-1;0;0
495;1055;3;3;3;2;2;-1;-1;0;0
407;971;2;2;3;1;2;0;-1;0;0
539;1035;2;2;3;2;2;0;0;0;0
510;911;3;3;3;2;2;-1;-1;0;0
636;1161;3;3;3;2;3;0;0;0;0
368;919;2;2;2;1;1;0;-1;0;0
561;1043;2;2;2;2;2;0;0;0;0
584;784;2;2;2;2;2;0;0;1;0
577;1076;3;3;3;2;2;0;0;0;0
412;946;3;3;3;1;2;-1;-1;0;0
372;1012;3;3;3;1;1;-1;-1;0;0
484;1165;3;3;3;2;2;0;0;0;0
305;983;3;3;3;1;1;-1;-1;0;0
492;1153;2;2;3;2;2;0;0;0;0
520;997;2;2;3;2;2;0;0;0;0
772;1113;2;2;3;3;3;0;0;1;1
513;815;3;3;3;2;2;-1;-1;0;0
518;979;3;3;4;2;2;-1;-1;0;0
356;1065;2;2;3;1;1;0;-1;0;0
274;1043;2;2;2;1;1;-1;-1;0;0
375;968;3;3;3;1;1;-1;-1;0;0
476;879;2;2;2;2;2;0;0;0;0
369;1058;3;3;3;1;1;-1;-1;0;0
456;1023;2;2;2;2;2;0;0;0;0
488;1130;3;3;3;2;2;0;-1;0;0
621;892;3;3;3;2;2;0;0;0;0
368;858;2;2;2;1;1;0;-1;0;0
636;860;3;3;3;2;2;0;0;0;0
412;1127;2;2;2;2;2;0;0;0;0
385;942;2;2;3;1;1;0;-1;0;0
444;972;3;3;3;2;2;-1;-1;0;0
529;1022;2;2;3;2;2;0;0;0;0
326;904;2;2;3;1;1;-1;-1;0;0
571;852;2;2;2;2;2;0;0;1;1
392;1015;3;3;3;1;2;-1;-1;0;0
579;755;2;2;2;2;2;0;0;1;0
526;1112;2;2;3;2;2;0;0;0;0
510;991;3;3;3;2;2;0;-1;0;0
614;973;2;2;2;2;2;0;0;1;0
417;868;2;2;3;1;2;0;-1;0;0
572;945;3;3;3;2;2;0;0;0;0
470;963;3;3;3;2;2;0;-1;0;0
759;864;3;3;3;3;3;0;0;1;1
302;986;2;2;3;1;1;-1;-1;0;0
637;862;3;3;3;2;2;0;0;0;0
492;1152;2;2;3;2;2;0;0;0;0
536;936;3;3;3;2;2;0;0;0;0
605;856;2;2;2;2;2;0;0;0;0
448;998;2;2;3;2;2;0;0;0;0
604;1113;3;3;3;2;2;0;0;0;0
428;797;2;2;3;1;2;0;0;0;0
487;801;2;2;3;2;2;0;0;0;0
401;1090;3;3;3;2;2;-1;-1;0;0
406;1144;2;2;2;2;2;0;0;0;0
617;1087;3;3;3;2;2;0;0;0;0
391;1233;3;3;3;2;2;-1;-1;0;0
517;1219;3;3;3;2;2;0;-1;0;0
408;844;2;2;3;1;2;0;-1;0;0
603;875;2;2;3;2;2;0;0;0;0
482;984;2;2;3;2;2;0;0;0;0
459;1133;2;2;2;2;2;0;0;0;0
590;815;2;2;2;2;2;0;0;1;1
303;845;3;3;3;1;1;-1;-1;0;0
623;874;2;2;3;2;2;0;0;0;0
579;1173;3;3;3;2;2;0;0;0;0
365;1026;2;2;3;1;1;0;-1;0;0
528;975;2;2;3;2;2;0;0;0;0
641;1095;2;2;3;2;3;0;0;0;0
434;894;3;3;3;2;2;-1;-1;0;0
571;1023;3;3;3;2;2;0;0;0;0
610;1146;2;2;3;2;2;0;0;0;0
596;1000;2;2;3;2;2;0;0;0;0
394;1073;2;2;2;1;2;0;0;0;0
429;915;2;2;2;2;2;0;0;0;0
333;1027;3;3;3;1;1;-1;-2;0;0
374;977;3;3;3;1;1;-1;-1;0;0
497;1213;2;2;2;2;2;0;0;0;0
586;982;2;2;3;2;2;0;0;0;0
