# X_0;X_1;R_0;S_0;G_0;I_0
14440;20813;143000;144162;-1162;0
14529;17884;143000;143311;-311;0
11270;21259;143000;142211;788;1
18019;22290;143000;146981;-3981;0
9575;27084;143000;142903;96;1
15047;18746;143000;143921;-921;0
11707;20837;143000;142368;631;1
12169;19021;143000;142108;891;1
17784;20185;143000;146172;-3172;0
11611;27876;143000;144491;-1491;0
10834;22519;143000;142315;684;1
16772;12857;143000;143229;-229;0
19796;13260;143000;145348;-2348;0
14154;24601;143000;145151;-2151;0
14846;18829;143000;143814;-814;0
12592;17530;143000;141924;1075;1
19278;23976;143000;148335;-5335;0
14399;17504;143000;143108;-108;0
13831;14604;143000;141832;1167;1
13940;22860;143000;144469;-1469;0
15673;25084;143000;146302;-3302;0
15036;18599;143000;143868;-868;0
12956;17669;143000;142207;792;1
14959;19016;143000;143947;-947;0
15511;34549;143000;149135;-6135;0
14217;16628;143000;142715;284;1
12209;27505;143000;144770;-1770;0
15115;19143;143000;144089;-1089;0
13445;18805;143000;142883;116;1
15521;11830;143000;142085;914;1
12110;17541;143000;141610;1389;1
12070;26416;143000;144340;-1340;0
15650;10703;143000;141820;1179;1
14119;20581;143000;143879;-879;0
11663;20476;143000;142227;772;1
17835;19914;143000;146122;-3122;0
14022;21046;143000;143959;-959;0
13943;12351;143000;141206;1793;1
14451;20781;143000;144160;-1160;0
16125;13257;143000;142926;73;1
10427;22211;143000;141951;1048;1
7924;17222;143000;138751;4248;1
14706;21871;143000;144667;-1667;0
14282;22709;143000;144647;-1647;0
12230;21224;143000;142833;166;1
15824;25813;143000;146628;-3628;0
17611;17410;143000;145196;-2196;0
14097;24235;143000;144999;-1999;0
16556;18523;143000;144846;-1846;0
18489;24672;143000;148031;-5031;0
12403;15592;143000;141198;1801;1
16572;26858;143000;147446;-4446;0
14209;21329;143000;144170;-1170;0
14679;17661;143000;143341;-341;0
17098;26105;143000;147559;-4559;0
13483;24125;143000;144560;-1560;0
17709;22770;143000;146926;-3926;0
15597;17814;143000;143994;-994;0
15001;13136;143000;142148;851;1
16805;14181;143000;143662;-662;0
9734;16157;143000;139613;3386;1
17426;12286;143000;143483;-483;0
15814;27998;143000;147300;-4300;0
10934;19983;143000;141593;1406;1
18471;18940;143000;146239;-3239;0
13518;23744;143000;144465;-1465;0
14734;28137;143000;146631;-3631;0
17920;19182;143000;145950;-2950;0
12864;22282;143000;143580;-580;0
16488;24757;143000;146738;-3738;0
16088;17277;143000;144151;-1151;0
12156;26168;143000;144320;-1320;0
13917;20131;143000;143606;-606;0
17244;20140;143000;145802;-2802;0
11518;26913;143000;144131;-1131;0
14464;25943;143000;145772;-2772;0
12602;18589;143000;142260;739;1
18979;21633;143000;147410;-4410;0
12901;20329;143000;142997;2;1
18921;19957;143000;146851;-3851;0
16401;21656;143000;145717;-2717;0
17840;18579;143000;145710;-2710;0
14803;14506;143000;142443;556;1
11502;25589;143000;143709;-709;0
16813;27226;143000;147719;-4719;0
13485;19406;143000;143096;-96;0
15228;16500;143000;143342;-342;0
14434;18454;143000;143426;-426;0
13492;20774;143000;143525;-525;0
11737;17806;143000;141446;1553;1
18978;19824;143000;146848;-3848;0
15122;13521;143000;142347;652;1
14707;22915;143000;144991;-1991;0
14082;20298;143000;143766;-766;0
16671;30419;143000;148617;-5617;0
15333;14759;143000;142871;128;1
16729;28807;143000;148155;-5155;0
15151;17722;143000;143671;-671;0
18375;18372;143000;145999;-2999;0
15505;22002;143000;145234;-2234;0
18108;15938;143000;145067;-2067;0
14738;13382;143000;142051;948;1
11456;15151;143000;140436;2563;1
15267;15981;143000;143207;-207;0
16315;23615;143000;146269;-3269;0
17750;18942;143000;145764;-2764;0
13896;27624;143000;145919;-2919;0
12890;16485;143000;141796;1203;1
17044;23732;143000;146786;-3786;0
20119;23985;143000;148892;-5892;0
16356;16496;143000;144085;-1085;0
15953;18892;143000;144563;-1563;0
15673;17684;143000;144004;-1004;0
17411;19923;143000;145845;-2845;0
17556;13318;143000;143889;-889;0
15842;17694;143000;144118;-1118;0
13974;21387;143000;144034;-1034;0
16435;18337;143000;144709;-1709;0
11885;18846;143000;141867;1132;1
10204;17528;143000;140349;2650;1
14150;21060;143000;144048;-1048;0
13651;17958;143000;142755;244;1
15571;24839;143000;146159;-3159;0
17126;26623;143000;147738;-4738;0
15909;16608;143000;143825;-825;0
17556;24955;143000;147504;-4504;0
16341;17984;143000;144537;-1537;0
16590;13889;143000;143429;-429;0
12245;21372;143000;142889;110;1
17048;19139;143000;145362;-2362;0
16608;15136;143000;143829;-829;0
18971;16001;143000;145655;-2655;0
12014;21762;143000;142858;141;1
11969;23124;143000;143251;-251;0
15749;22768;143000;145633;-2633;0
13021;25066;143000;144548;-1548;0
12674;13929;143000;140860;2139;1
9001;14722;143000;138684;4315;1
16103;15612;143000;143643;-643;0
14361;22340;143000;144585;-1585;0
14939;19170;143000;143981;-981;0
16077;23654;143000;146124;-3124;0
17904;16980;143000;145256;-2256;0
11150;23635;143000;142870;129;1
13732;20781;143000;143686;-686;0
18667;18615;143000;146267;-3267;0
13145;24874;143000;144570;-1570;0
15443;13158;143000;142446;553;1
11765;24573;143000;143567;-567;0
17187;17203;143000;144852;-1852;0
12717;25497;143000;144481;-1481;0
17919;21621;143000;146707;-3707;0
17088;16752;143000;144647;-1647;0
15741;29878;143000;147836;-4836;0
15660;17056;143000;143800;-800;0
17721;19105;143000;145795;-2795;0
14062;26656;143000;145728;-2728;0
15626;21204;143000;145066;-2066;0
14744;18506;143000;143646;-646;0
11178;20059;143000;141777;1222;1
14905;14941;143000;142645;354;1
18232;19818;143000;146354;-3354;0
13914;19333;143000;143356;-356;0
19088;12065;143000;144510;-1510;0
17053;15222;143000;144149;-1149;0
12145;12098;143000;139942;3057;1
16121;24634;143000;146458;-3458;0
14226;19324;143000;143559;-559;0
17630;23694;143000;147161;-4161;0
14152;16748;143000;142710;289;1
15451;26198;143000;146502;-3502;0
13037;26377;143000;144966;-1966;0
14546;19135;143000;143711;-711;0
15916;21424;143000;145326;-2326;0
11959;17525;143000;141505;1494;1
15077;24753;143000;145806;-2806;0
14810;20267;143000;144237;-1237;0
14318;23223;143000;144831;-1831;0
15693;17796;143000;144052;-1052;0
18904;21954;143000;147460;-4460;0
15788;18975;143000;144480;-1480;0
16031;24256;143000;146281;-3281;0
14149;19419;143000;143538;-538;0
10874;20740;143000;141788;1211;1
17158;12148;143000;143263;-263;0
15968;15581;143000;143545;-545;0
14328;26176;143000;145755;-2755;0
12834;18508;143000;142388;611;1
17539;24010;143000;147199;-4199;0
18697;10952;143000;143906;-906;0
13274;28225;143000;145696;-2696;0
12542;23024;143000;143598;-598;0
17103;24163;143000;146959;-3959;0
16963;19405;143000;145389;-2389;0
18712;18291;143000;146196;-3196;0
18550;22332;143000;147344;-4344;0
14601;19059;143000;143724;-724;0
15223;19709;143000;144336;-1336;0
14491;19627;143000;143828;-828;0
14024;17763;143000;142941;58;1
17483;16546;143000;144844;-1844;0
15606;14929;143000;143104;-104;0
14732;22074;143000;144747;-1747;0
13493;20871;143000;143556;-556;0
12776;15102;143000;141291;1708;1
14306;13272;143000;141732;1267;1
17458;6672;143000;141760;1239;1
15856;16047;143000;143616;-616;0
10326;18988;143000;140883;2116;1
12875;21536;143000;143355;-355;0
17746;18169;143000;145521;-2521;0
16029;23329;143000;145992;-2992;0
18248;16396;143000;145301;-2301;0
13855;18557;143000;143076;-76;0
15932;21688;143000;145418;-2418;0
19728;17665;143000;146671;-3671;0
13500;16920;143000;142333;666;1
14467;20407;143000;144054;-1054;0
9222;25796;143000;142270;729;1
14321;15457;143000;142420;579;1
15994;20070;143000;144956;-1956;0
15317;20193;143000;144548;-1548;0
19386;19370;143000;146976;-3976;0
16763;22693;143000;146278;-3278;0
16888;22003;143000;146146;-3146;0
11829;28677;143000;144884;-1884;0
15174;19230;143000;144155;-1155;0
9133;20838;143000;140671;2328;1
11264;25163;143000;143420;-420;0
15117;14632;143000;142689;310;1
17230;22257;143000;146451;-3451;0
13246;16313;143000;141977;1022;1
17309;24814;143000;147297;-4297;0
